Kód,Územná jednotka,Spolu,muži (abs.),muži (%),ženy (abs.),ženy (%)
SK0101528595,Bratislava - mestská časť Staré Mesto,46080,22210,48.2,23870,51.8
SK0102529311,Bratislava - mestská časť Podunajské Biskupice,23464,11193,47.7,12271,52.3
SK0102529320,Bratislava - mestská časť Ružinov,81004,37575,46.39,43429,53.61
SK0102529338,Bratislava - mestská časť Vrakuňa,20711,9945,48.02,10766,51.98
SK0103529346,Bratislava - mestská časť Nové Mesto,44458,20981,47.19,23477,52.81
SK0103529354,Bratislava - mestská časť Rača,25733,12717,49.42,13016,50.58
SK0103529362,Bratislava - mestská časť Vajnory,6079,3056,50.27,3023,49.73
SK0104529371,Bratislava - mestská časť Devínska Nová Ves,17153,8446,49.24,8707,50.76
SK0104529389,Bratislava - mestská časť Dúbravka,36206,17109,47.25,19097,52.75
SK0104529397,Bratislava - mestská časť Karlova Ves,35644,16980,47.64,18664,52.36
SK0104529401,Bratislava - mestská časť Devín,1912,950,49.69,962,50.31
SK0104529419,Bratislava - mestská časť Lamač,7789,3597,46.18,4192,53.82
SK0104529427,Bratislava - mestská časť Záhorská Bystrica,6541,3165,48.39,3376,51.61
SK0105529435,Bratislava - mestská časť Čunovo,1635,836,51.13,799,48.87
SK0105529443,Bratislava - mestská časť Jarovce,2706,1358,50.18,1348,49.82
SK0105529460,Bratislava - mestská časť Petržalka,114000,54966,48.22,59034,51.78
SK0105529494,Bratislava - mestská časť Rusovce,4388,2141,48.79,2247,51.21
SK0106500267,Záhorie (vojenský obvod),147,74,50.34,73,49.66
SK0106504556,Malé Leváre,1510,737,48.81,773,51.19
SK0106504629,Plavecké Podhradie,698,358,51.29,340,48.71
SK0106504637,Plavecký Mikuláš,740,371,50.14,369,49.86
SK0106504769,Rohožník (Okres Malacky),3616,1811,50.08,1805,49.92
SK0106504858,Sološnica,1671,821,49.13,850,50.87
SK0106504874,Studienka,1685,847,50.27,838,49.73
SK0106504947,Veľké Leváre,3719,1832,49.26,1887,50.74
SK0106504980,Závod,2978,1464,49.16,1514,50.84
SK0106507831,Borinka,860,452,52.56,408,47.44
SK0106507890,Gajary,3163,1610,50.9,1553,49.1
SK0106507954,Jablonové (Okres Malacky),1385,686,49.53,699,50.47
SK0106507962,Jakubov,1736,890,51.27,846,48.73
SK0106508012,Kostolište,1768,885,50.06,883,49.94
SK0106508021,Kuchyňa,1769,883,49.92,886,50.08
SK0106508039,Láb,2048,1022,49.9,1026,50.1
SK0106508055,Lozorno,3142,1590,50.6,1552,49.4
SK0106508063,Malacky,18935,9266,48.94,9669,51.06
SK0106508080,Marianka,2284,1117,48.91,1167,51.09
SK0106508161,Pernek,895,435,48.6,460,51.4
SK0106508195,Plavecký Štvrtok,2513,1235,49.14,1278,50.86
SK0106508233,Stupava,12595,5976,47.45,6619,52.55
SK0106508241,Suchohrad,673,344,51.11,329,48.89
SK0106508349,Vysoká pri Morave,2273,1143,50.29,1130,49.71
SK0106508365,Záhorská Ves,1885,962,51.03,923,48.97
SK0106508381,Zohor,3448,1724,50,1724,50
SK0107507806,Báhoň,1879,925,49.23,954,50.77
SK0107507849,Budmerice,2506,1259,50.24,1247,49.76
SK0107507857,Častá,2363,1158,49.01,1205,50.99
SK0107507873,Doľany (Okres Pezinok),1066,529,49.62,537,50.38
SK0107507881,Dubová (Okres Pezinok),1142,547,47.9,595,52.1
SK0107507946,Jablonec,1004,496,49.4,508,50.6
SK0107507989,Svätý Jur,5941,2849,47.95,3092,52.05
SK0107508047,Limbach,2287,1112,48.62,1175,51.38
SK0107508101,Modra,9346,4545,48.63,4801,51.37
SK0107508179,Pezinok,24900,11992,48.16,12908,51.84
SK0107508187,Píla (Okres Pezinok),347,171,49.28,176,50.72
SK0107508225,Slovenský Grob,5202,2500,48.06,2702,51.94
SK0107508250,Šenkvice,5260,2568,48.82,2692,51.18
SK0107508268,Štefanová,388,200,51.55,188,48.45
SK0107508306,Viničné,2687,1371,51.02,1316,48.98
SK0107508314,Vinosady,1473,725,49.22,748,50.78
SK0107508322,Vištuk,1392,689,49.5,703,50.5
SK0108503681,Boldog,488,259,53.07,229,46.93
SK0108503797,Hrubá Borša,1323,625,47.24,698,52.76
SK0108503801,Hrubý Šúr,1038,516,49.71,522,50.29
SK0108503819,Hurbanova Ves,529,260,49.15,269,50.85
SK0108503851,Kostolná pri Dunaji,781,366,46.86,415,53.14
SK0108503894,Kráľová pri Senci,2233,1092,48.9,1141,51.1
SK0108503983,Reca,1656,820,49.52,836,50.48
SK0108507814,Bernolákovo,8801,4258,48.38,4543,51.62
SK0108507822,Blatné,1828,861,47.1,967,52.9
SK0108507865,Čataj,1205,599,49.71,606,50.29
SK0108507903,Hamuliakovo,2568,1238,48.21,1330,51.79
SK0108507911,Chorvátsky Grob,6830,3354,49.11,3476,50.89
SK0108507938,Ivanka pri Dunaji,6971,3304,47.4,3667,52.6
SK0108507997,Kalinkovo,1467,730,49.76,737,50.24
SK0108508071,Malinovo,3887,1887,48.55,2000,51.45
SK0108508098,Miloslavov,4000,1909,47.73,2091,52.28
SK0108508110,Most pri Bratislave,3913,1912,48.86,2001,51.14
SK0108508136,Nová Dedinka,3150,1549,49.17,1601,50.83
SK0108508209,Rovinka,5136,2488,48.44,2648,51.56
SK0108508217,Senec,20116,9736,48.4,10380,51.6
SK0108508276,Tomášov,2715,1287,47.4,1428,52.6
SK0108508284,Tureň,1214,606,49.92,608,50.08
SK0108508292,Veľký Biel,2975,1458,49.01,1517,50.99
SK0108508331,Vlky,415,195,46.99,220,53.01
SK0108545333,Dunajská Lužná,7622,3697,48.5,3925,51.5
SK0108555487,Igram,590,296,50.17,294,49.83
SK0108555495,Kaplna,944,488,51.69,456,48.31
SK0108555509,Zálesie (Okres Senec),2228,1070,48.03,1158,51.97
SK0108582549,Nový Svet,92,48,52.17,44,47.83
SK0211501433,Dunajská Streda,23044,10922,47.4,12122,52.6
SK0211501441,Báč,546,249,45.6,297,54.4
SK0211501450,Baka,1136,555,48.86,581,51.14
SK0211501468,Baloň,720,349,48.47,371,51.53
SK0211501484,Blahová,360,190,52.78,170,47.22
SK0211501492,Blatná na Ostrove,981,468,47.71,513,52.29
SK0211501506,Boheľov,343,169,49.27,174,50.73
SK0211501514,Čakany,651,313,48.08,338,51.92
SK0211501522,Veľký Meder,8446,4042,47.86,4404,52.14
SK0211501531,Čiližská Radvaň,1175,586,49.87,589,50.13
SK0211501549,Dobrohošť,517,245,47.39,272,52.61
