Kód,Územná jednotka,Spolu,muži (abs.),muži (%),ženy (abs.),ženy (%)
SK0101,Okres Bratislava I,46080,22210,48.2,23870,51.8
SK0102,Okres Bratislava II,125179,58713,46.9,66466,53.1
SK0103,Okres Bratislava III,76270,36754,48.19,39516,51.81
SK0104,Okres Bratislava IV,105245,50247,47.74,54998,52.26
SK0105,Okres Bratislava V,122729,59301,48.32,63428,51.68
SK0106,Okres Malacky,78136,38535,49.32,39601,50.68
SK0107,Okres Pezinok,69183,33636,48.62,35547,51.38
SK0108,Okres Senec,96715,46908,48.5,49807,51.5
SK0211,Okres Dunajská Streda,124669,60725,48.71,63944,51.29
SK0212,Okres Galanta,95124,46831,49.23,48293,50.77
SK0213,Okres Hlohovec,44015,21710,49.32,22305,50.68
SK0214,Okres Piešťany,63032,30624,48.58,32408,51.42
SK0215,Okres Senica,59749,29490,49.36,30259,50.64
SK0216,Okres Skalica,47525,23576,49.61,23949,50.39
SK0217,Okres Trnava,131894,64565,48.95,67329,51.05
SK0221,Okres Bánovce nad Bebravou,35967,17721,49.27,18246,50.73
SK0222,Okres Ilava,58058,28496,49.08,29562,50.92
SK0223,Okres Myjava,25678,12635,49.21,13043,50.79
SK0224,Okres Nové Mesto nad Váhom,61840,30405,49.17,31435,50.83
SK0225,Okres Partizánske,44515,21876,49.14,22639,50.86
SK0226,Okres Považská Bystrica,61617,30452,49.42,31165,50.58
SK0227,Okres Prievidza,131693,64658,49.1,67035,50.9
SK0228,Okres Púchov,44319,21868,49.34,22451,50.66
SK0229,Okres Trenčín,113777,55550,48.82,58227,51.18
SK0231,Okres Komárno,100952,49246,48.78,51706,51.22
SK0232,Okres Levice,110469,53544,48.47,56925,51.53
SK0233,Okres Nitra,164788,80003,48.55,84785,51.45
SK0234,Okres Nové Zámky,138168,67274,48.69,70894,51.31
SK0235,Okres Šaľa,51477,25337,49.22,26140,50.78
SK0236,Okres Topoľčany,70877,34989,49.37,35888,50.63
SK0237,Okres Zlaté Moravce,41169,20207,49.08,20962,50.92
SK031A,Okres Tvrdošín,35856,17952,50.07,17904,49.93
SK031B,Okres Žilina,161377,79312,49.15,82065,50.85
SK0311,Okres Bytča,31154,15445,49.58,15709,50.42
SK0312,Okres Čadca,88642,44127,49.78,44515,50.22
SK0313,Okres Dolný Kubín,39026,19300,49.45,19726,50.55
SK0314,Okres Kysucké Nové Mesto,32699,16256,49.71,16443,50.29
SK0315,Okres Liptovský Mikuláš,71935,34966,48.61,36969,51.39
SK0316,Okres Martin,94376,45697,48.42,48679,51.58
SK0317,Okres Námestovo,63200,31859,50.41,31341,49.59
SK0318,Okres Ružomberok,57392,27967,48.73,29425,51.27
SK0319,Okres Turčianske Teplice,15956,7846,49.17,8110,50.83
SK032A,Okres Veľký Krtíš,41998,20538,48.9,21460,51.1
SK032B,Okres Zvolen,66750,32086,48.07,34664,51.93
SK032C,Okres Žarnovica,25242,12531,49.64,12711,50.36
SK032D,Okres Žiar nad Hronom,44844,21938,48.92,22906,51.08
SK0321,Okres Banská Bystrica,108730,51917,47.75,56813,52.25
SK0322,Okres Banská Štiavnica,15649,7588,48.49,8061,51.51
SK0323,Okres Brezno,59446,28954,48.71,30492,51.29
SK0324,Okres Detva,31034,15186,48.93,15848,51.07
SK0325,Okres Krupina,21517,10635,49.43,10882,50.57
SK0326,Okres Lučenec,70422,34126,48.46,36296,51.54
SK0327,Okres Poltár,20634,10163,49.25,10471,50.75
SK0328,Okres Revúca,38669,19126,49.46,19543,50.54
SK0329,Okres Rimavská Sobota,80666,39365,48.8,41301,51.2
SK041A,Okres Stará Ľubovňa,52968,26608,50.23,26360,49.77
SK041B,Okres Stropkov,19878,9895,49.78,9983,50.22
SK041C,Okres Svidník,31611,15728,49.75,15883,50.25
SK041D,Okres Vranov nad Topľou,79426,39363,49.56,40063,50.44
SK0411,Okres Bardejov,76012,37942,49.92,38070,50.08
SK0412,Okres Humenné,60126,29452,48.98,30674,51.02
SK0413,Okres Kežmarok,73685,36834,49.99,36851,50.01
SK0414,Okres Levoča,33107,16503,49.85,16604,50.15
SK0415,Okres Medzilaborce,11056,5548,50.18,5508,49.82
SK0416,Okres Poprad,102744,50050,48.71,52694,51.29
SK0417,Okres Prešov,172804,84660,48.99,88144,51.01
SK0418,Okres Sabinov,60389,30334,50.23,30055,49.77
SK0419,Okres Snina,35125,17310,49.28,17815,50.72
SK042A,Okres Spišská Nová Ves,98706,48730,49.37,49976,50.63
SK042B,Okres Trebišov,103687,50764,48.96,52923,51.04
SK0421,Okres Gelnica,31698,15716,49.58,15982,50.42
SK0422,Okres Košice I,64453,30713,47.65,33740,52.35
SK0423,Okres Košice II,79437,38037,47.88,41400,52.12
SK0424,Okres Košice III,28135,13649,48.51,14486,51.49
SK0425,Okres Košice IV,57015,27108,47.55,29907,52.45
SK0426,Okres Košice - okolie,128346,63933,49.81,64413,50.19
SK0427,Okres Michalovce,108954,53263,48.89,55691,51.11
SK0428,Okres Rožňava,59345,29075,48.99,30270,51.01
SK0429,Okres Sobrance,22440,11195,49.89,11245,50.11
